Start Node,End Node,Attenuation (dB)
0,23,-6.018497096942481
0,12,-6.018124411125868
0,22,-6.046570149761548
0,2,-6.0127624577371
0,15,-5.999756178036241
0,8,-5.994920664427826
0,9,-5.993078706330529
0,16,-5.948216992767761
0,10,-5.99182415043545
0,4,-5.915875705268876
0,20,-5.986171506029332
0,1,-6.0139361380029746
0,3,-5.987633718384056
0,24,-5.951900087560389
0,7,-5.916337125958146
0,18,-5.90433745813216
0,21,-5.971009971993335
0,5,-5.98141771400173
0,19,-5.947480282589754
0,11,-5.8782259514899495
0,13,-5.939024805201203
0,6,-5.916723586575167
0,17,-5.877264343196814
0,14,-5.812121714164853
1,21,-6.010618372957465
1,10,-6.03151661292581
1,3,-6.0325967231554385
1,8,-6.03536749489017
1,24,-6.022028137000977
1,5,-6.0387509935871435
1,19,-6.020997718148931
1,15,-6.037103567499378
1,11,-5.989012777123961
1,13,-6.047545255699378
1,2,-6.028374362980963
1,9,-6.035887726433174
1,16,-6.012694811029385
1,6,-6.04409100216765
1,17,-6.012370765934639
1,12,-6.028483163491265
1,4,-5.98789873737012
1,20,-6.034493107272194
1,14,-5.986532982625717
1,23,-6.0284730963133635
1,7,-5.9983191207066024
1,18,-5.98213001699704
1,0,-6.013936138002976
1,22,-6.113558218771991
2,12,-6.019734412273861
2,15,-6.018310067010681
2,23,-6.0196016944967035
2,8,-6.016117007276422
2,9,-6.015668886371559
2,16,-5.991354999203834
2,0,-6.012762457737106
2,22,-6.061191650763743
2,10,-6.014311198246572
2,4,-5.971376293800924
2,20,-6.012360251705067
2,1,-6.0283743629809585
2,3,-6.012244856493588
2,24,-5.992428705123571
2,7,-5.968842166647153
2,18,-5.9626191691936326
2,21,-6.00534590077127
2,5,-6.00887197762562
2,19,-5.989509031835063
2,11,-5.941605698039417
2,13,-5.984116271716543
2,6,-5.969510004660107
2,17,-5.939304548543647
2,14,-5.89114325472854
3,5,-6.020835998453603
3,19,-6.013916303648789
3,10,-6.020464061956045
3,1,-6.0325967231554385
3,8,-6.020441219918805
3,24,-6.010579613746875
3,21,-6.023348383109046
3,15,-6.019762286945243
3,11,-5.975173868876565
3,13,-6.009272462147196
3,2,-6.01224485649359
3,9,-6.017550415519586
3,16,-5.993499815582873
3,6,-6.00037241057892
3,17,-5.975274585512433
3,12,-6.00392454775896
3,4,-5.9719427176817925
3,20,-6.014830719387908
3,14,-5.93930845613693
3,23,-6.0031633360721885
3,7,-5.973557148113988
3,18,-5.964133260977184
3,0,-5.9876337183840596
3,22,-6.057991676055897
4,7,-6.0227225786089145
4,18,-6.020380475017243
4,9,-5.997607245308359
4,20,-5.99077666060698
4,15,-5.990360188850467
4,2,-5.971376293800924
4,8,-5.983398509088421
4,16,-5.932564849053577
4,12,-5.945777011529149
4,10,-5.977515913139777
4,23,-5.943515698934281
4,1,-5.98789873737012
4,3,-5.971942717681789
4,24,-5.933826168665944
4,0,-5.915875705268876
4,22,-5.987337759049319
4,21,-5.937889455682142
4,5,-5.9609402679534105
4,19,-5.928622983816295
4,11,-5.854320242036232
4,13,-5.903199566464752
4,6,-5.876187787937075
4,17,-5.8391757807390805
4,14,-5.765002172367765
5,3,-6.020835998453603
5,19,-6.009140392540788
5,10,-6.020375948631986
5,1,-6.038750993587144
5,8,-6.020707681307042
5,24,-6.005414080310035
5,21,-6.024977271344458
5,15,-6.01971101461075
5,11,-5.963986057616684
5,13,-6.008146673295748
5,2,-6.008871977625625
5,9,-6.016513847550979
5,16,-5.98667120281714
5,6,-5.9982257916555195
5,17,-5.969182712589523
5,12,-6.0002057752536135
5,4,-5.960940267953414
5,20,-6.012995087400769
5,14,-5.930646633644782
5,23,-5.999423199096684
5,7,-5.965027679984414
5,18,-5.952695681795331
5,0,-5.981417714001738
5,22,-6.06532671836743
6,14,-6.006733473640885
6,13,-6.019527039520309
6,17,-6.007095622784548
6,24,-6.0336776234893135
6,10,-6.004062334171429
6,11,-5.995446962671804
6,1,-6.04409100216765
6,3,-6.000372410578918
6,8,-6.0037161061281585
6,21,-5.998631015753225
6,5,-5.9982257916555195
6,19,-5.95469929713398
6,15,-5.999079591930056
6,2,-5.969510004660108
6,9,-5.98930943464558
6,16,-5.924275771671885
6,12,-5.952058173153982
6,4,-5.876187787937074
6,20,-5.980032507646436
6,23,-5.950523304101638
6,7,-5.88764903125765
6,18,-5.863590120582333
6,0,-5.916723586575167
6,22,-6.057396723145762
7,4,-6.0227225786089145
7,18,-6.02326305074751
7,9,-5.99633102346952
7,20,-5.989795692950056
7,15,-5.989196122081782
7,2,-5.968842166647155
7,8,-5.983048636924047
7,16,-5.930223523106727
7,12,-5.946295215387462
7,10,-5.978690355751268
7,23,-5.944306314508028
7,1,-5.9983191207066096
7,3,-5.973557148113992
7,24,-5.933594441623152
7,0,-5.916337125958147
7,22,-6.0023617549922275
7,21,-5.948585844579923
7,5,-5.965027679984417
7,19,-5.928575891048476
7,11,-5.852977212013407
7,13,-5.913321240484928
7,6,-5.88764903125766
7,17,-5.847122499492083
7,14,-5.775017730978541
8,15,-6.020391477971716
8,10,-6.020728559821899
8,2,-6.016117007276422
8,9,-6.019225700624703
8,16,-6.000994889840301
8,1,-6.03536749489017
8,3,-6.020441219918805
8,24,-6.010489588635877
8,12,-6.008638984825669
8,4,-5.983398509088421
8,20,-6.017383982440815
8,21,-6.026307052062793
8,5,-6.020707681307041
8,19,-6.008739919699366
8,11,-5.974861641097679
8,13,-6.0121480759192885
8,23,-6.0079417982990275
8,7,-5.983048636924043
8,18,-5.976134210641565
8,6,-6.0037161061281585
8,17,-5.97766412609278
8,0,-5.994920664427828
8,22,-6.053474898472269
8,14,-5.942529695292528
9,4,-5.997607245308359
9,20,-6.020217748815341
9,15,-6.02014301961569
9,7,-5.99633102346952
9,18,-5.991490860648203
9,2,-6.015668886371559
9,8,-6.019225700624703
9,16,-5.999865930591024
9,12,-6.007241537263951
9,10,-6.0187160356999625
9,23,-6.006460460066186
9,1,-6.035887726433173
9,3,-6.017550415519584
9,24,-6.001420319103584
9,0,-5.993078706330529
9,22,-6.049830311837146
9,21,-6.0190516564023095
9,5,-6.016513847550976
9,19,-5.999064396241683
9,11,-5.956844846371697
9,13,-6.00074840496599
9,6,-5.989309434645582
9,17,-5.959791104531987
9,14,-5.918121270857001
10,1,-6.03151661292581
10,3,-6.020464061956045
10,8,-6.020728559821899
10,24,-6.013096033800086
10,21,-6.024780041485448
10,5,-6.020375948631986
10,19,-6.0114822778716155
10,15,-6.020392315917243
10,11,-5.980663602891654
10,13,-6.012067678343877
10,2,-6.014311198246576
10,9,-6.018716035699964
10,16,-5.997406930542121
10,6,-6.004062334171429
10,17,-5.98025721380583
10,12,-6.0068264439517
10,4,-5.977515913139778
10,20,-6.016472024463505
10,14,-5.946252476379991
10,23,-6.006134938203426
10,7,-5.978690355751264
10,18,-5.970069414239859
10,0,-5.991824150435452
10,22,-6.05826116217889
11,24,-6.007836750115868
11,10,-5.980663602891654
11,13,-6.005385216286333
11,1,-5.989012777123961
11,3,-5.975173868876565
11,8,-5.974861641097679
11,6,-5.995446962671802
11,17,-5.9693326270871605
11,21,-5.940390112407212
11,5,-5.963986057616682
11,19,-5.933366878564718
11,15,-5.967229044675124
11,14,-5.931142671052453
11,2,-5.941605698039419
11,9,-5.956844846371696
11,16,-5.8950628651202255
11,12,-5.913666984871023
11,4,-5.854320242036232
11,20,-5.946424152256571
11,23,-5.911211813294869
11,7,-5.852977212013399
11,18,-5.839569728208918
11,0,-5.878225951489946
11,22,-5.971810370980508
12,2,-6.019734412273861
12,23,-6.0205955172303955
12,15,-6.01177360429665
12,0,-6.018124411125868
12,22,-6.04653625919086
12,8,-6.008638984825669
12,9,-6.007241537263951
12,16,-5.972604902829648
12,10,-6.006826443951698
12,4,-5.945777011529149
12,20,-6.002323177601958
12,1,-6.028483163491262
12,3,-6.003924547758958
12,24,-5.975782065138383
12,7,-5.946295215387462
12,18,-5.935959931335638
12,21,-5.996195314042736
12,5,-6.000205775253608
12,19,-5.972225407233905
12,11,-5.913666984871026
12,13,-5.969675397774767
12,6,-5.952058173153984
12,17,-5.915990932766247
12,14,-5.860858648601982
13,6,-6.019527039520309
13,17,-6.015069501587807
13,24,-6.033621760431276
13,14,-5.996476562595149
13,10,-6.012067678343877
13,11,-6.005385216286333
13,1,-6.047545255699378
13,3,-6.0092724621471945
13,8,-6.012148075919287
13,21,-6.011204350099069
13,5,-6.008146673295746
13,19,-5.97156710260741
13,15,-6.00865935440456
13,2,-5.984116271716545
13,9,-6.00074840496599
13,16,-5.945401451142178
13,12,-5.969675397774766
13,4,-5.903199566464752
13,20,-5.99313518890431
13,23,-5.968403755645654
13,7,-5.9133212404849225
13,18,-5.8919538842352415
13,0,-5.939024805201202
13,22,-6.066390420401901
14,6,-6.006733473640885
14,13,-5.996476562595149
14,17,-5.965718470609297
14,24,-5.99780287602022
14,10,-5.946252476379989
14,11,-5.931142671052451
14,1,-5.986532982625715
14,3,-5.939308456136926
14,8,-5.942529695292526
14,21,-5.913652290296498
14,5,-5.9306466336447805
14,19,-5.872542965201495
14,15,-5.9334306782155615
14,2,-5.891143254728542
14,9,-5.918121270856999
14,16,-5.826831657236101
14,12,-5.860858648601979
14,4,-5.765002172367765
14,20,-5.903645574363195
14,23,-5.858195675946892
14,7,-5.775017730978533
14,18,-5.7476824937131195
14,0,-5.812121714164849
14,22,-5.971169023118094
15,2,-6.018310067010681
15,8,-6.020391477971716
15,9,-6.02014301961569
15,16,-6.005619882580178
15,12,-6.01177360429665
15,10,-6.020392315917243
15,4,-5.990360188850467
15,20,-6.018919811226208
15,23,-6.011152888856026
15,1,-6.037103567499379
15,3,-6.019762286945243
15,24,-6.006898092838553
15,7,-5.989196122081777
15,18,-5.983536933495361
15,0,-5.999756178036243
15,22,-6.052284085312907
15,21,-6.024680406030494
15,5,-6.019711014610746
15,19,-6.00490124948208
15,11,-5.967229044675127
15,13,-6.008659354404563
15,6,-5.9990795919300615
15,17,-5.971129869950959
15,14,-5.933430678215567
16,15,-6.005619882580178
16,2,-5.991354999203834
16,8,-6.000994889840301
16,9,-5.999865930591024
16,12,-5.972604902829648
16,10,-5.997406930542121
16,4,-5.932564849053575
16,20,-5.9936851049497815
16,23,-5.97093769247164
16,1,-6.012694811029385
16,3,-5.993499815582873
16,24,-5.962602236640686
16,7,-5.930223523106725
16,18,-5.921366548251633
16,0,-5.948216992767763
16,22,-6.018529982742673
16,21,-5.974465703555091
16,5,-5.9866712028171385
16,19,-5.958449427279893
16,11,-5.895062865120227
16,13,-5.94540145114218
16,6,-5.924275771671889
16,17,-5.888909135007938
16,14,-5.826831657236106
17,13,-6.015069501587807
17,6,-6.007095622784548
17,24,-6.014931817071352
17,14,-5.965718470609295
17,10,-5.980257213805832
17,11,-5.9693326270871605
17,1,-6.012370765934642
17,3,-5.975274585512431
17,8,-5.97766412609278
17,21,-5.959212019507932
17,5,-5.969182712589523
17,19,-5.92517235434529
17,15,-5.971129869950957
17,2,-5.93930454854365
17,9,-5.9597911045319885
17,16,-5.888909135007938
17,12,-5.915990932766249
17,4,-5.839175780739082
17,20,-5.948904250248603
17,23,-5.913943988846209
17,7,-5.847122499492083
17,18,-5.82486185171486
17,0,-5.877264343196813
17,22,-6.010934690574209
18,4,-6.020380475017243
18,7,-6.02326305074751
18,9,-5.991490860648203
18,20,-5.984038769223413
18,15,-5.983536933495363
18,2,-5.9626191691936326
18,8,-5.9761342106415665
18,16,-5.921366548251635
18,12,-5.935959931335637
18,10,-5.970069414239861
18,23,-5.933609353340624
18,1,-5.98213001699704
18,3,-5.964133260977184
18,24,-5.923148374359816
18,0,-5.90433745813216
18,22,-5.9811788668296515
18,21,-5.928576671072331
18,5,-5.952695681795331
18,19,-5.917684858535374
18,11,-5.839569728208923
18,13,-5.891953884235244
18,6,-5.863590120582335
18,17,-5.824861851714858
18,14,-5.7476824937131195
19,3,-6.013916303648789
19,5,-6.009140392540788
19,10,-6.0114822778716155
19,1,-6.020997718148931
19,8,-6.008739919699364
19,24,-5.987424941664145
19,21,-5.99432075256341
19,15,-6.004901249482078
19,11,-5.933366878564723
19,13,-5.97156710260741
19,2,-5.989509031835058
19,9,-5.999064396241681
19,16,-5.958449427279887
19,6,-5.954699297133978
19,17,-5.92517235434529
19,12,-5.972225407233903
19,4,-5.928622983816295
19,20,-5.992912156663878
19,14,-5.872542965201497
19,23,-5.970690894104148
19,7,-5.928575891048465
19,18,-5.917684858535369
19,0,-5.94748028258975
19,22,-6.026840241548343
20,9,-6.020217748815341
20,4,-5.99077666060698
20,15,-6.018919811226208
20,7,-5.98979569295005
20,18,-5.984038769223411
20,2,-6.012360251705067
20,8,-6.017383982440816
20,16,-5.993685104949784
20,12,-6.002323177601956
20,10,-6.0164720244635035
20,23,-6.00140612434565
20,1,-6.034493107272193
20,3,-6.0148307193879065
20,24,-5.995592035054258
20,0,-5.986171506029334
20,22,-6.047495699940352
20,21,-6.013579415474677
20,5,-6.012995087400768
20,19,-5.99291215666388
20,11,-5.946424152256573
20,13,-5.99313518890431
20,6,-5.980032507646436
20,17,-5.948904250248598
20,14,-5.903645574363195
21,1,-6.010618372957465
21,10,-6.024780041485448
21,3,-6.023348383109046
21,8,-6.026307052062793
21,24,-5.9970593123664555
21,5,-6.024977271344458
21,19,-5.994320752563408
21,15,-6.024680406030494
21,11,-5.940390112407212
21,13,-6.011204350099069
21,2,-6.005345900771272
21,9,-6.019051656402312
21,16,-5.974465703555091
21,6,-5.998631015753223
21,17,-5.95921201950793
21,12,-5.996195314042736
21,4,-5.937889455682144
21,20,-6.013579415474679
21,14,-5.913652290296498
21,23,-5.995384601117398
21,7,-5.948585844579919
21,18,-5.928576671072332
21,0,-5.971009971993337
21,22,-6.090741636284895
22,23,-6.045127416309219
22,0,-6.046570149761548
22,12,-6.04653625919086
22,2,-6.061191650763741
22,15,-6.052284085312906
22,8,-6.0534748984722695
22,9,-6.049830311837147
22,16,-6.018529982742673
22,10,-6.05826116217889
22,4,-5.987337759049322
22,20,-6.047495699940352
22,1,-6.113558218771993
22,3,-6.057991676055897
22,24,-6.029045254087264
22,7,-6.0023617549922275
22,18,-5.981178866829655
22,21,-6.090741636284897
22,5,-6.0653267183674275
22,19,-6.026840241548353
22,11,-5.971810370980512
22,13,-6.0663904204019055
22,6,-6.057396723145764
22,17,-6.010934690574209
22,14,-5.971169023118099
23,0,-6.018497096942481
23,12,-6.0205955172303955
23,22,-6.045127416309219
23,2,-6.0196016944967035
23,15,-6.011152888856028
23,8,-6.007941798299029
23,9,-6.0064604600661875
23,16,-5.970937692471643
23,10,-6.006134938203428
23,4,-5.943515698934284
23,20,-6.001406124345652
23,1,-6.028473096313366
23,3,-6.0031633360721885
23,24,-5.97430168144057
23,7,-5.9443063145080295
23,18,-5.933609353340628
23,21,-5.995384601117402
23,5,-5.999423199096681
23,19,-5.970690894104158
23,11,-5.9112118132948765
23,13,-5.968403755645661
23,6,-5.950523304101644
23,17,-5.913943988846214
23,14,-5.8581956759469
24,10,-6.013096033800086
24,11,-6.007836750115868
24,13,-6.033621760431276
24,1,-6.022028137000977
24,3,-6.010579613746875
24,8,-6.010489588635877
24,6,-6.0336776234893135
24,17,-6.014931817071352
24,21,-5.9970593123664555
24,5,-6.005414080310033
24,19,-5.987424941664145
24,15,-6.00689809283855
24,14,-5.997802876020223
24,2,-5.992428705123571
24,9,-6.001420319103586
24,16,-5.962602236640684
24,12,-5.9757820651383815
24,4,-5.933826168665946
24,20,-5.995592035054258
24,23,-5.974301681440563
24,7,-5.933594441623148
24,18,-5.923148374359816
24,0,-5.951900087560388
24,22,-6.029045254087259
