KEY;rZC;iZC;rGAMMA;iGAMMA
25;72.242698548;-4.286901125000007;0.000329081653622;0.004117249709752
50;68.8986806551;-2.443711261299999;0.00015579872699999998;0.0043527996511
150;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
16;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
3x240Al+150Cu;31.613574182400743;-1.7169047659822567;0.0005544460386623818;0.006627341658365352
3x150+150;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3x16+16;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
3x25+25;72.242698548;-4.286901125000007;0.000329081653622;0.004117249709752
3 1/2x150;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3x50 1x50;68.8986806551;-2.443711261299999;0.00015579872699999998;0.0043527996511
4x10;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
3x10 1x10;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
3x25 1x25;72.242698548;-4.286901125000007;0.000329081653622;0.004117249709752
3x50+50;68.8986806551;-2.443711261299999;0.00015579872699999998;0.0043527996511
3x150 1x150;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3x95+95;68.8986806551;-2.443711261299999;0.00015579872699999998;0.0043527996511
4x6;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
3x10+10;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
4x16;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
4x50;68.8986806551;-2.443711261299999;0.00015579872699999998;0.0043527996511
2x5;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
3 1/2x95;68.8986806551;-2.443711261299999;0.00015579872699999998;0.0043527996511
4x35;72.242698548;-4.286901125000007;0.000329081653622;0.004117249709752
ISO 4x95 Al 1x10;31.613574182400743;-1.7169047659822567;0.0005544460386623818;0.006627341658365352
ISO 4x10;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
4x25;72.242698548;-4.286901125000007;0.000329081653622;0.004117249709752
1x240;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
4x10 AI;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
4(1x240);39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3(1x240);39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3x240+150;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3x240 1x150;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3 1/2x50;68.8986806551;-2.443711261299999;0.00015579872699999998;0.0043527996511
3 1/2x70;68.8986806551;-2.443711261299999;0.00015579872699999998;0.0043527996511
3x95 1x50;68.8986806551;-2.443711261299999;0.00015579872699999998;0.0043527996511
3x95 1x95;68.8986806551;-2.443711261299999;0.00015579872699999998;0.0043527996511
3x150 1x95;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3 1/2x120;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3x150 1x75;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3x120 1x60;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3x25;72.242698548;-4.286901125000007;0.000329081653622;0.004117249709752
3x16;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
3x10;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
4x150;39.3959993434;-2.2566455911;0.0003429300703267;0.005218393299099999
3x185 1x95 Al;31.613574182400743;-1.7169047659822567;0.0005544460386623818;0.006627341658365352
2x10;59.3301;-3.6674437052;0.00037667584370000004;0.0049032392602562005
